algorithm,twenty,fourty,sixty,eighty,hundred,time
ssl3-md5,1,2,1,3,3,0.003501599999958671
sha512-256,2,4,1,1,2,0.003554800000006253
sm3,3,3,1,2,1,0.0038473999999951046
sm3WithRSAEncryption,3,3,1,2,1,0.003965000000016516
sha512-224,0,1,4,3,2,0.00401809999998477
sha384WithRSAEncryption,2,1,2,3,2,0.004131499999994048
sha512WithRSAEncryption,0,1,1,4,4,0.004140800000050149
sha512-256WithRSAEncryption,1,4,2,1,2,0.004308399999990798
shake256,1,3,1,2,3,0.004346699999996417
sha384,2,4,1,3,0,0.0046787000000222175
sha3-384,2,2,2,4,0,0.004739600000038991
ripemd160,2,1,4,3,0,0.004866900000024543
ripemd,1,1,1,3,4,0.004959599999983766
sha3-512,2,1,1,4,2,0.005072500000005675
RSA-SHA1,1,1,2,1,5,0.005127299999981005
md5,1,3,4,1,1,0.005178300000011404
sha3-256,0,1,4,3,2,0.005182400000012422
sha1WithRSAEncryption,2,3,4,1,0,0.005284900000060588
rmd160,2,2,0,3,3,0.005288399999994908
md5WithRSAEncryption,1,1,3,2,3,0.005370699999980388
sha224,1,2,1,1,5,0.005431099999964317
sha1,3,0,2,3,2,0.005453899999997703
ripemd160WithRSA,3,4,0,2,1,0.0055099999999583815
RSA-SHA1-2,3,1,1,1,4,0.005527899999992769
RSA-SHA224,4,0,2,2,2,0.005854800000020077
RSA-SHA512/224,4,3,1,0,2,0.005918199999996432
sha224WithRSAEncryption,3,3,2,2,0,0.005938300000002528
sha256,2,2,1,4,1,0.006016399999998612
id-rsassa-pkcs1-v1_5-with-sha3-224,0,6,3,0,1,0.0060816000000158965
blake2s256,3,1,6,0,0,0.0061249999999745345
RSA-SHA256,0,1,5,3,1,0.006206699999984267
RSA-SM3,0,4,1,3,2,0.006215300000053503
RSA-RIPEMD160,3,0,4,2,1,0.006322799999998097
RSA-SHA512/256,0,1,4,3,2,0.006339000000002671
md5-sha1,1,3,1,2,3,0.006632300000001123
RSA-SHA3-224,0,3,1,3,3,0.006703600000037113
sha512,3,2,0,1,4,0.006824500000016087
id-rsassa-pkcs1-v1_5-with-sha3-256,0,1,2,2,5,0.006952099999966777
shake128,3,1,1,4,1,0.007075700000018515
RSA-SHA3-256,2,1,3,2,2,0.007077700000036202
id-rsassa-pkcs1-v1_5-with-sha3-384,2,1,2,3,2,0.007643299999926967
RSA-SHA3-512,3,0,2,2,3,0.00826350000002094
blake2b512,2,0,2,3,3,0.008278199999995194
id-rsassa-pkcs1-v1_5-with-sha3-512,4,3,0,2,1,0.008503699999982928
RSA-SHA512,2,2,2,2,2,0.00906959999999799
sha512-224WithRSAEncryption,2,0,2,3,3,0.009290200000009463
RSA-SHA3-384,4,2,3,0,1,0.01005689999999504
RSA-SHA384,0,4,1,3,2,0.01162589999996726
sha256WithRSAEncryption,1,3,2,3,1,0.015488100000015947
RSA-MD5,2,3,3,2,0,0.026511999999979708
ssl3-sha1,3,0,2,1,4,0.04603329999995367
sha3-224,3,2,1,1,3,0.07763809999999012
