algorithm,twenty,fourty,sixty,eighty,hundred,time
custom,18,7,11,23,41,0.0001829300000031253
djb2,10,10,0,20,60,0.0003385600000183331
graham,0,10,90,0,0,0.0004983599999923171
gb32,16,19,18,23,24,0.0005082100000049649
gb64,23,21,16,18,22,0.0005406399999947097
fnv1a,22,17,22,16,23,0.000954689999994116
md5WithRSAEncryption,23,21,21,17,18,0.001574049999996987
sha1WithRSAEncryption,27,12,25,19,17,0.0015900899999974172
ssl3-md5,23,21,21,17,18,0.0016671100000007755
sha1,27,12,25,19,17,0.0017181100000129845
blake2s256,23,15,19,27,16,0.0017419299999892246
md5,23,21,21,17,18,0.0017429999999922074
RSA-SHA1,27,12,25,19,17,0.001761239999987083
sha256WithRSAEncryption,15,26,17,24,18,0.0017883199999960198
RSA-SHA224,25,25,21,20,9,0.0017965400000002775
RSA-RIPEMD160,16,17,17,25,25,0.0018304099999772916
RSA-MD5,23,21,21,17,18,0.0018753300000162198
sha224,25,25,21,20,9,0.0018857099999945604
RSA-SHA256,15,26,17,24,18,0.0018943499999954838
ripemd,16,17,17,25,25,0.001907379999991008
md5-sha1,27,12,25,19,17,0.0019403699999884338
sha256,15,26,17,24,18,0.0019486900000038076
RSA-SHA512/256,21,23,24,16,16,0.0019513200000096731
ripemd160,16,17,17,25,25,0.0020445300000073983
sm3,18,21,21,18,22,0.0020615900000029797
ssl3-sha1,27,12,25,19,17,0.0020616699999982304
rmd160,16,17,17,25,25,0.0020695400000090556
sha512-224,22,22,22,22,12,0.0020918199999960052
RSA-SHA512/224,22,22,22,22,12,0.002093039999990651
RSA-SHA384,18,24,24,17,17,0.0021387599999934536
RSA-SHA3-256,21,19,14,20,26,0.0021455199999923023
sha512-256WithRSAEncryption,21,23,24,16,16,0.002211879999999837
blake2b512,19,19,18,25,19,0.002277720000008685
RSA-SHA3-384,19,20,30,14,17,0.0022987600000033124
shake256,22,17,17,18,26,0.0023426299999891854
id-rsassa-pkcs1-v1_5-with-sha3-224,31,17,16,17,19,0.0023431600000049
id-rsassa-pkcs1-v1_5-with-sha3-384,19,20,30,14,17,0.00235886000001301
sha224WithRSAEncryption,25,25,21,20,9,0.0024129300000026886
sha3-256,21,19,14,20,26,0.002415800000010222
id-rsassa-pkcs1-v1_5-with-sha3-256,21,19,14,20,26,0.002427980000006755
RSA-SHA3-512,15,24,19,27,15,0.00243148000000474
sha512-256,21,23,24,16,16,0.0025017699999875733
sha512,24,16,15,23,22,0.002556459999989329
RSA-SHA3-224,31,17,16,17,19,0.0025789800000006833
RSA-SHA1-2,27,12,25,19,17,0.0025880799999958982
sha512-224WithRSAEncryption,22,22,22,22,12,0.0025904800000012074
RSA-SHA512,24,16,15,23,22,0.002591779999993378
sha3-224,31,17,16,17,19,0.002607439999994767
shake128,22,21,13,23,21,0.002696429999994052
sha384WithRSAEncryption,18,24,24,17,17,0.002769939999977851
sha384,18,24,24,17,17,0.0028223400000092626
id-rsassa-pkcs1-v1_5-with-sha3-512,15,24,19,27,15,0.002824809999997342
RSA-SM3,18,21,21,18,22,0.002980990000000929
sha3-512,15,24,19,27,15,0.003759469999999965
ripemd160WithRSA,16,17,17,25,25,0.004509939999998096
sha3-384,19,20,30,14,17,0.004604410000004009
sm3WithRSAEncryption,18,21,21,18,22,0.0046451700000147865
sha512WithRSAEncryption,24,16,15,23,22,0.004877030000002378
