algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,0,10,90,900,0,0.00011917200000016238
custom,214,347,207,107,125,0.00012728400000378316
djb2,152,172,202,222,252,0.00013747399999920163
fnv1a,200,198,201,194,207,0.0007405490000028294
md5,182,198,198,210,212,0.0015407750000022134
RSA-SHA1,189,202,214,216,179,0.0015757499999972423
md5WithRSAEncryption,182,198,198,210,212,0.001624205000002803
sha1,189,202,214,216,179,0.0016891440000022157
sha1WithRSAEncryption,189,202,214,216,179,0.0017330159999910393
RSA-SHA1-2,189,202,214,216,179,0.001755718000005345
ssl3-md5,182,198,198,210,212,0.0017632510000044023
blake2s256,186,200,189,220,205,0.0017705769999847689
ssl3-sha1,189,202,214,216,179,0.0017773620000075426
RSA-SHA512/256,175,208,199,206,212,0.0018141049999981077
rmd160,234,196,179,193,198,0.0018154310000022633
sha224WithRSAEncryption,202,206,199,188,205,0.0018535620000029666
sha512-224,212,206,204,188,190,0.0018549060000045757
ripemd,234,196,179,193,198,0.0018588170000039099
ripemd160WithRSA,234,196,179,193,198,0.001876895999989756
sha384WithRSAEncryption,208,214,193,197,188,0.0019012080000065908
RSA-RIPEMD160,234,196,179,193,198,0.001907976000000417
sha384,208,214,193,197,188,0.0019180489999980636
RSA-SM3,207,211,182,206,194,0.0019304029999993872
RSA-SHA224,202,206,199,188,205,0.0019507940000012241
sha256,184,210,200,203,203,0.001970463000000109
md5-sha1,189,202,214,216,179,0.0019846060000068065
RSA-SHA3-256,197,183,201,193,226,0.001988478000000214
sha224,202,206,199,188,205,0.0020022879999942234
shake128,183,219,188,200,210,0.002022772999994231
gb64,209,203,201,194,193,0.002032183999992412
sha512-224WithRSAEncryption,212,206,204,188,190,0.002052601000007144
sm3,207,211,182,206,194,0.002053897999997844
sha512-256,175,208,199,206,212,0.0020557969999917985
ripemd160,234,196,179,193,198,0.0020663260000110314
sha512-256WithRSAEncryption,175,208,199,206,212,0.002087448000011591
id-rsassa-pkcs1-v1_5-with-sha3-256,197,183,201,193,226,0.0021400210000028894
RSA-SHA512,189,192,217,184,218,0.0021449140000108853
RSA-SHA3-224,214,195,193,205,193,0.0021521389999998065
sha256WithRSAEncryption,184,210,200,203,203,0.002169854999999188
sm3WithRSAEncryption,207,211,182,206,194,0.002222808000008172
id-rsassa-pkcs1-v1_5-with-sha3-384,204,184,203,194,215,0.0022384969999866373
RSA-SHA3-384,204,184,203,194,215,0.002240779999996448
RSA-MD5,182,198,198,210,212,0.002255316000010225
RSA-SHA256,184,210,200,203,203,0.0022842960000143647
RSA-SHA384,208,214,193,197,188,0.002293700999987777
id-rsassa-pkcs1-v1_5-with-sha3-224,214,195,193,205,193,0.0023298120000031304
sha3-224,214,195,193,205,193,0.0023424149999978
sha512,189,192,217,184,218,0.0023458589999936523
shake256,198,193,191,200,218,0.00237771300000486
blake2b512,193,201,199,204,203,0.002420461999993677
RSA-SHA3-512,198,187,202,216,197,0.0024237800000018977
gb32,206,182,214,187,211,0.002432172000002538
id-rsassa-pkcs1-v1_5-with-sha3-512,198,187,202,216,197,0.002441227000001163
sha512WithRSAEncryption,189,192,217,184,218,0.002528804000002765
sha3-256,197,183,201,193,226,0.0025913209999980607
sha3-384,204,184,203,194,215,0.0026065059999959886
sha3-512,198,187,202,216,197,0.002688006999997924
RSA-SHA512/224,212,206,204,188,190,0.015905543000003037
