algorithm,twenty,fourty,sixty,eighty,hundred,time
custom,1424,1445,1953,3095,2083,0.00014429489999438373
djb2,1952,1972,2000,2028,2048,0.00014931310000638405
graham,126,10,90,900,8874,0.00016474849998876379
gb64,2041,2003,1965,1994,1997,0.0003201124999954118
gb32,1958,1990,2031,1969,2052,0.00036624059999485327
fnv1a,2008,2006,1987,2004,1995,0.0006931522999999288
RSA-MD5,1929,2011,2009,2085,1966,0.001453639500000827
md5WithRSAEncryption,1929,2011,2009,2085,1966,0.0016360629999999218
sha224,2017,2065,1981,1912,2025,0.0016520811000013055
RSA-SHA1,2069,1995,1937,2016,1983,0.0016559737999967182
sha1,2069,1995,1937,2016,1983,0.0017137690999945335
ripemd160,2086,2025,1978,1940,1971,0.0017170081999989635
RSA-SHA224,2017,2065,1981,1912,2025,0.001717410299997846
ssl3-sha1,2069,1995,1937,2016,1983,0.001721476300006907
RSA-RIPEMD160,2086,2025,1978,1940,1971,0.0017283394999996744
sha224WithRSAEncryption,2017,2065,1981,1912,2025,0.0017320654999943145
sha256WithRSAEncryption,2052,2021,1961,1989,1977,0.001744212599993807
md5-sha1,2069,1995,1937,2016,1983,0.0017948564000076657
sha512-224WithRSAEncryption,2035,2036,2027,1979,1923,0.0018167684000007284
sha512-256WithRSAEncryption,1966,2001,2039,2000,1994,0.0018307672000022648
RSA-SHA512/224,2035,2036,2027,1979,1923,0.001837967500001014
sm3WithRSAEncryption,2002,2029,1899,2036,2034,0.0018773751000006086
ripemd160WithRSA,2086,2025,1978,1940,1971,0.001877447399999437
RSA-SHA512/256,1966,2001,2039,2000,1994,0.0018889358999946125
shake128,1984,2028,1954,1984,2050,0.0019076940000046306
RSA-SHA384,2035,2029,1946,1969,2021,0.001944484100005411
sha384WithRSAEncryption,2035,2029,1946,1969,2021,0.001964869500003442
sha3-224,2042,2021,2003,1929,2005,0.0020095342000115124
sha384,2035,2029,1946,1969,2021,0.002036345600016466
RSA-SHA3-224,2042,2021,2003,1929,2005,0.002037774399989303
id-rsassa-pkcs1-v1_5-with-sha3-224,2042,2021,2003,1929,2005,0.0020537520999929257
sha3-256,2021,1967,1955,2090,1967,0.0020998377999991136
sha512,1993,2010,1993,2000,2004,0.002126481099992452
sha3-512,2021,1979,1930,2042,2028,0.0022820822000063344
shake256,2010,2016,1957,2048,1969,0.0023318793999967968
RSA-SHA512,1993,2010,1993,2000,2004,0.002358050199995978
RSA-SHA3-256,2021,1967,1955,2090,1967,0.0023646062000012534
RSA-SHA3-384,1963,1994,2022,2034,1987,0.002366673199998604
id-rsassa-pkcs1-v1_5-with-sha3-256,2021,1967,1955,2090,1967,0.0025290187000140576
id-rsassa-pkcs1-v1_5-with-sha3-512,2021,1979,1930,2042,2028,0.0025313562000019376
ssl3-md5,1929,2011,2009,2085,1966,0.002606466300002103
RSA-SHA3-512,2021,1979,1930,2042,2028,0.0026162346999949477
blake2b512,2001,1968,1897,2085,2049,0.0032993466000061744
RSA-SHA1-2,2069,1995,1937,2016,1983,0.0033181792999938805
sha512-224,2035,2036,2027,1979,1923,0.003426590199996099
sha256,2052,2021,1961,1989,1977,0.0034853829000110635
md5,1929,2011,2009,2085,1966,0.0035663114999901152
RSA-SHA256,2052,2021,1961,1989,1977,0.0037026012000005723
sha1WithRSAEncryption,2069,1995,1937,2016,1983,0.003743084900001122
sha512WithRSAEncryption,1993,2010,1993,2000,2004,0.003765357500000573
rmd160,2086,2025,1978,1940,1971,0.003823585499998626
sha512-256,1966,2001,2039,2000,1994,0.0038667170000000624
ripemd,2086,2025,1978,1940,1971,0.003970302599995375
sm3,2002,2029,1899,2036,2034,0.004201197800003683
blake2s256,2063,1984,1970,1964,2019,0.0046645445999956795
sha3-384,1963,1994,2022,2034,1987,0.004789979800001674
id-rsassa-pkcs1-v1_5-with-sha3-384,1963,1994,2022,2034,1987,0.004968229099996461
RSA-SM3,2002,2029,1899,2036,2034,0.005117414299989287
