algorithm,twenty,fourty,sixty,eighty,hundred,time
djb2,2037,2011,2007,2015,1930,0.00043260690000006437
custom,1993,2028,2042,1970,1967,0.0004391305000034208
gb32,1939,2064,2006,1952,2039,0.0006510166000003665
graham,2074,1983,1938,1993,2012,0.000855272500000774
fnv1a,2040,2034,1981,1984,1961,0.000928780500003677
gb64,1956,1979,2059,2001,2005,0.0010376072000003204
ssl3-sha1,1961,2071,1911,2057,2000,0.0016535735999994357
RSA-MD5,1973,1989,2049,1990,1999,0.0017334807999997792
md5WithRSAEncryption,1960,1986,2070,2032,1952,0.0017449911000027897
sha1,1972,1999,1944,2031,2054,0.0017626829000021644
sha1WithRSAEncryption,2086,1992,2015,1943,1964,0.0018052089999987403
RSA-SHA1,2069,1974,2018,2005,1934,0.0018062175000005936
RSA-SHA224,2024,1997,2017,2051,1911,0.0019392994000028466
sha224WithRSAEncryption,1991,1994,2001,2031,1983,0.0019958609999955117
sha224,2035,1987,1977,2043,1958,0.002005042700003287
sha512-224WithRSAEncryption,2071,1988,2018,1956,1967,0.0020706531000014364
rmd160,1975,2002,1998,2006,2019,0.002078325599994605
ripemd,1989,2003,2003,2014,1991,0.0020918152999984158
sha512-224,1998,1941,2087,2037,1937,0.002092916099998183
RSA-RIPEMD160,1974,1972,1987,2021,2046,0.0021000049000007037
ripemd160WithRSA,1986,2008,2046,1942,2018,0.0021578709000014897
sha384WithRSAEncryption,2057,2066,2005,1933,1939,0.002183764499999597
sha384,2016,1995,2048,1984,1957,0.002258869900001173
shake128,2021,1957,2008,2062,1952,0.0022590904000045157
RSA-SHA384,1981,2045,1996,2007,1971,0.0023153453000009905
md5-sha1,2004,1916,2046,2036,1998,0.0023202982000026166
sm3WithRSAEncryption,1998,2034,1951,2023,1994,0.0023555409999973563
RSA-SHA512/256,1948,2023,2109,1992,1928,0.002368211699998028
sha512,1982,2025,1987,1999,2007,0.0023926764000016193
sha3-256,2024,1974,2010,1999,1993,0.002431037099999776
shake256,2007,1928,2094,2020,1951,0.002510313399993902
RSA-SHA3-224,1988,1967,1997,2003,2045,0.0025184817999982442
sha3-384,1993,1983,1978,2061,1985,0.002555217199996423
ssl3-md5,2002,2022,2062,1916,1998,0.0026171078999929704
RSA-SHA512,1972,1984,1987,1924,2133,0.0026185800999965975
RSA-SHA3-384,1927,2024,1999,2031,2019,0.0026430171999909362
sha3-512,2092,1969,1948,1992,1999,0.0026632507000001167
RSA-SHA512/224,2007,1936,2082,1983,1992,0.0026800102000031074
id-rsassa-pkcs1-v1_5-with-sha3-256,2027,1944,2034,1989,2006,0.0026961017000026915
id-rsassa-pkcs1-v1_5-with-sha3-384,1943,1995,2030,2044,1988,0.002839846200005377
RSA-SHA1-2,2020,1967,1943,2050,2020,0.0028579797999976108
id-rsassa-pkcs1-v1_5-with-sha3-512,1961,2000,2035,1975,2029,0.0028615402999982507
blake2s256,2014,2018,2000,2020,1948,0.003097133800001666
sha256WithRSAEncryption,2005,2023,1996,2016,1960,0.003107135800008746
sha256,2049,1959,2024,1989,1979,0.0031133637000020824
sha512-256WithRSAEncryption,2025,2015,1957,1968,2035,0.0031512951000009707
ripemd160,1936,2010,2021,2020,2013,0.00319626430000244
RSA-SHA256,2017,2009,1991,1965,2018,0.003200374999996575
sha512-256,1955,2052,1956,2048,1989,0.0032900038999931895
RSA-SM3,2042,2002,1968,2014,1974,0.003312957799997366
blake2b512,1964,2017,2030,1977,2012,0.0035416569000006346
sha3-224,1980,2044,1992,2006,1978,0.003556034900006398
sha512WithRSAEncryption,1918,2050,1996,1998,2038,0.003581165699999747
md5,2067,1993,1981,1967,1992,0.0037426325000000362
RSA-SHA3-256,2071,1982,2019,1999,1929,0.003890179300003092
id-rsassa-pkcs1-v1_5-with-sha3-224,2112,1978,1943,1948,2019,0.003968198099998517
sm3,1957,2032,2022,2006,1983,0.004027002300000095
RSA-SHA3-512,1992,1988,2013,2023,1984,0.004130270499996459
