algorithm,twenty,fourty,sixty,eighty,hundred,time
sha224WithRSAEncryption,2,5,1,2,0,0.0042448999999805895
ripemd160WithRSA,2,2,2,2,2,0.004266300000017509
ssl3-md5,2,4,0,1,3,0.004279300000007424
RSA-SHA512/256,1,1,5,1,2,0.004317300000002433
sha1WithRSAEncryption,2,2,3,3,0,0.0043410999999423435
md5WithRSAEncryption,1,4,2,2,1,0.004373800000030315
ssl3-sha1,3,2,3,2,0,0.004374899999993432
md5,1,2,0,4,3,0.0043948999999656735
RSA-SHA256,2,1,5,2,0,0.004397399999993468
sha384WithRSAEncryption,3,1,0,4,2,0.004447899999991023
blake2s256,2,2,2,4,0,0.0044533999999885054
sha512-256,3,2,1,3,1,0.004467500000055224
rmd160,1,4,2,2,1,0.004484400000001188
ripemd,2,2,1,1,4,0.0045368999999482185
sha512-256WithRSAEncryption,4,2,1,0,3,0.004623800000013034
sha224,2,4,4,0,0,0.00467100000003029
sha1,4,1,2,2,1,0.004757099999983439
sha384,2,3,0,5,0,0.00476099999998496
sha256WithRSAEncryption,2,2,3,0,3,0.004771599999980935
sha512-224,1,3,3,3,0,0.004772700000057739
sm3,1,4,3,2,0,0.004780000000005202
RSA-SHA512,0,3,3,1,3,0.004923399999984213
sm3WithRSAEncryption,2,2,1,0,5,0.00493749999998272
RSA-SHA512/224,4,2,2,2,0,0.004974299999980758
sha256,6,1,2,1,0,0.004978500000015628
RSA-SHA3-384,1,2,2,2,3,0.005014300000038929
shake256,1,3,1,3,2,0.0051398999999946685
ripemd160,3,3,1,2,1,0.005149500000038642
sha512,1,2,3,3,1,0.005164299999978539
sha3-224,2,4,2,1,1,0.005181799999968461
id-rsassa-pkcs1-v1_5-with-sha3-256,0,2,3,1,4,0.005198099999984151
shake128,2,1,1,1,5,0.0052287999999634845
RSA-SHA1-2,1,2,2,4,1,0.005385399999954643
sha3-256,1,4,3,0,2,0.005445800000006784
sha512WithRSAEncryption,1,3,2,3,1,0.005499099999951795
id-rsassa-pkcs1-v1_5-with-sha3-224,1,4,0,2,3,0.0055264999999963035
md5-sha1,2,3,2,2,1,0.005556099999944308
RSA-SHA384,1,0,1,3,5,0.005588399999965077
RSA-SHA3-256,1,2,1,4,2,0.005621499999983825
RSA-SHA3-512,2,2,0,3,3,0.005762999999979002
RSA-SHA3-224,3,2,0,2,3,0.005808999999999287
RSA-SHA224,4,1,2,2,1,0.005809499999963918
RSA-SM3,3,2,2,0,3,0.005944099999965147
sha3-384,1,1,3,4,1,0.005986999999936416
blake2b512,4,2,1,1,2,0.00602610000007644
id-rsassa-pkcs1-v1_5-with-sha3-512,1,1,0,4,4,0.006131099999993239
RSA-RIPEMD160,1,2,2,2,3,0.006205099999988306
sha3-512,2,2,2,3,1,0.006422100000008868
djb2,0,3,0,2,5,0.007185800000024755
id-rsassa-pkcs1-v1_5-with-sha3-384,4,1,1,2,2,0.007231700000011188
graham,4,1,1,1,3,0.007608700000014323
RSA-SHA1,1,3,1,2,3,0.007896099999993567
sha512-224WithRSAEncryption,0,1,3,4,2,0.008810399999970287
fnv1a,1,2,1,3,3,0.012312499999961802
gb32,3,1,2,2,2,0.012665699999956814
gb64,3,0,4,1,2,0.016878200000019206
custom,1,3,2,0,4,0.01810699999996359
RSA-MD5,0,3,2,4,1,0.02673949999998513
