algorithm,twenty,fourty,sixty,eighty,hundred,time
custom,20,23,16,19,22,0.0007058499999948254
graham,27,17,20,20,16,0.0012489399999958551
ssl3-md5,26,23,16,17,18,0.0016294399999901544
ssl3-sha1,27,20,21,18,14,0.0016437100000007377
fnv1a,17,21,22,27,13,0.0016815500000029716
djb2,24,20,18,25,13,0.001688959999976305
sm3WithRSAEncryption,18,23,22,15,22,0.00206243000000768
sha1,21,20,24,22,13,0.002120499999994081
md5WithRSAEncryption,24,25,21,16,14,0.0021212100000002464
md5,27,10,23,22,18,0.0021251500000016676
sha512-224WithRSAEncryption,15,28,21,16,20,0.002141329999997197
sha512-224,23,24,22,20,11,0.0021735699999953797
sha512-256,21,18,18,20,23,0.002178139999996347
sha1WithRSAEncryption,23,21,21,16,19,0.0021954999999957182
sha512-256WithRSAEncryption,25,22,24,13,16,0.002249109999997927
shake128,17,23,21,14,25,0.0022820900000078835
ripemd160,24,21,17,18,20,0.002308020000000397
sha384WithRSAEncryption,21,22,17,18,22,0.002343340000002172
sha256WithRSAEncryption,19,16,23,19,23,0.0023458800000003065
sha384,31,21,15,16,17,0.0023753000000010615
blake2s256,23,17,15,27,18,0.0023823599999946055
sha256,14,22,18,22,24,0.0023845700000129
ripemd,16,23,19,22,20,0.0023872199999914303
ripemd160WithRSA,21,19,12,25,23,0.0023907300000132635
sha224WithRSAEncryption,26,11,23,20,20,0.0024182199999995646
shake256,25,23,18,18,16,0.002428970000000845
sha224,16,22,21,19,22,0.002445749999992586
sha3-256,18,23,24,19,16,0.0024469600000020363
md5-sha1,21,19,20,23,17,0.0025244000000111556
sha512,24,15,18,17,26,0.002533539999999448
sha3-384,14,21,26,16,23,0.0025800300000037167
sha512WithRSAEncryption,16,22,24,16,22,0.002615120000011757
rmd160,16,22,20,26,16,0.002633610000009412
sha3-512,18,16,21,21,24,0.0026615900000047077
id-rsassa-pkcs1-v1_5-with-sha3-224,22,19,11,22,26,0.002798389999986739
id-rsassa-pkcs1-v1_5-with-sha3-512,27,11,20,18,24,0.00311006000001953
id-rsassa-pkcs1-v1_5-with-sha3-384,13,21,19,26,21,0.0033854799999926397
gb32,23,15,20,18,24,0.003784839999984797
RSA-SHA512/256,24,22,19,16,19,0.00382116999999198
RSA-SHA1,21,26,15,14,24,0.0038289000000077066
id-rsassa-pkcs1-v1_5-with-sha3-256,23,19,23,21,14,0.0038393299999961526
RSA-SHA384,18,21,19,22,20,0.003902070000015101
RSA-RIPEMD160,16,17,25,20,22,0.003948670000011134
RSA-SHA224,19,18,26,15,22,0.004183399999983521
blake2b512,18,20,15,25,22,0.004217000000010102
RSA-SHA512,16,23,20,28,13,0.004440389999997478
RSA-SHA1-2,21,16,23,19,21,0.004457319999992251
RSA-SHA3-384,19,14,21,19,27,0.0046417799999903765
RSA-SHA256,15,27,19,25,14,0.004723360000002686
RSA-MD5,28,12,19,17,24,0.004882709999997133
RSA-SM3,17,20,12,28,23,0.005003219999998691
RSA-SHA3-512,16,23,24,16,21,0.0054645999999934245
RSA-SHA3-256,21,21,16,16,26,0.006573700000003555
RSA-SHA3-224,28,20,19,15,18,0.007004660000006879
gb64,22,17,21,21,19,0.0071728600000005825
RSA-SHA512/224,21,23,20,19,17,0.007579780000003211
sm3,18,24,22,19,17,0.020526859999995394
sha3-224,12,26,18,20,24,0.1442155799999864
