algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,0,10,0,0,0,0.0012353999999959342
fnv1a,2,2,2,1,3,0.002228000000036445
djb2,0,10,0,0,0,0.0026981000000205315
md5WithRSAEncryption,2,5,1,1,1,0.003404399999999441
gb32,1,2,4,2,1,0.0035167000000456026
ssl3-md5,2,5,1,1,1,0.003522200000020348
md5,2,5,1,1,1,0.003570699999977478
ripemd160WithRSA,1,1,2,3,3,0.0036190000000487998
sm3WithRSAEncryption,2,1,3,1,3,0.0036427999999659733
sha224WithRSAEncryption,4,2,0,1,3,0.0037001999999574766
ssl3-sha1,3,2,2,2,1,0.003712699999960023
custom,0,4,5,1,0,0.003812700000003133
RSA-SHA256,0,4,2,2,2,0.0038252999999940584
sha512-256,3,1,3,3,0,0.0038270999999667765
rmd160,1,1,2,3,3,0.003864000000021406
RSA-SHA1-2,3,2,2,2,1,0.003910499999938111
blake2s256,4,2,1,2,1,0.0039400999999998024
sha256,0,4,2,2,2,0.004054799999971692
sha512-256WithRSAEncryption,3,1,3,3,0,0.004066599999987375
sha1,3,2,2,2,1,0.004108700000028875
RSA-SHA512/224,4,1,2,2,1,0.004117100000007668
sha224,4,2,0,1,3,0.004127599999992526
RSA-SHA512/256,3,1,3,3,0,0.004136100000050646
sha512-224,4,1,2,2,1,0.004167200000006232
shake128,1,2,1,3,3,0.004259099999990213
sha384WithRSAEncryption,1,2,5,1,1,0.004287499999986721
sha384,1,2,5,1,1,0.004325799999969604
id-rsassa-pkcs1-v1_5-with-sha3-256,1,2,3,3,1,0.00436600000002727
ripemd,1,1,2,3,3,0.004387999999971725
RSA-SHA512,2,1,2,2,3,0.004399600000033388
RSA-SHA1,3,2,2,2,1,0.0044092999999747915
sha512-224WithRSAEncryption,4,1,2,2,1,0.004416500000002088
RSA-SHA384,1,2,5,1,1,0.004442500000004656
sha3-384,2,2,2,0,4,0.00445510000001832
gb64,2,1,1,4,2,0.004466700000034507
RSA-SHA3-256,1,2,3,3,1,0.004470800000012787
sha512WithRSAEncryption,2,1,2,2,3,0.004472000000009757
sm3,2,1,3,1,3,0.004484000000024935
RSA-SHA224,4,2,0,1,3,0.004492899999968358
md5-sha1,3,2,2,2,1,0.004547200000001794
id-rsassa-pkcs1-v1_5-with-sha3-512,1,2,1,3,3,0.004575999999974556
RSA-SM3,2,1,3,1,3,0.004593499999987216
RSA-SHA3-384,2,2,2,0,4,0.004635400000029222
sha3-256,1,2,3,3,1,0.004653399999983776
sha3-224,3,3,0,1,3,0.004686999999967157
sha512,2,1,2,2,3,0.004729699999961668
sha256WithRSAEncryption,0,4,2,2,2,0.0048179000000118325
id-rsassa-pkcs1-v1_5-with-sha3-384,2,2,2,0,4,0.004839500000025509
RSA-RIPEMD160,1,1,2,3,3,0.0048686000000316195
sha3-512,1,2,1,3,3,0.00493640000004234
RSA-SHA3-224,3,3,0,1,3,0.0049908000000186805
id-rsassa-pkcs1-v1_5-with-sha3-224,3,3,0,1,3,0.005011399999989408
RSA-SHA3-512,1,2,1,3,3,0.005026800000064213
blake2b512,1,0,1,5,3,0.00516970000001038
ripemd160,1,1,2,3,3,0.0062368000000333264
RSA-MD5,2,5,1,1,1,0.007504000000017186
shake256,5,2,0,1,2,0.00841570000000047
sha1WithRSAEncryption,3,2,2,2,1,0.009542299999975513
