algorithm,twenty,fourty,sixty,eighty,hundred,time
ssl3-md5,17,22,29,12,20,0.0015579200000047423
ssl3-sha1,18,23,20,23,16,0.0016351400000075955
md5WithRSAEncryption,17,23,21,13,26,0.001796079999980975
sha1WithRSAEncryption,14,26,21,16,23,0.0018294299999934082
md5,22,17,21,21,19,0.0018757599999935338
sha1,19,19,23,19,20,0.0018874299999970389
sm3WithRSAEncryption,24,21,15,21,19,0.0019297999999866988
RSA-SHA1,20,20,15,28,17,0.0019810600000005254
ripemd160,16,16,24,23,21,0.0020057000000019798
sha256WithRSAEncryption,29,24,14,14,19,0.002020340000019587
sm3,19,19,23,20,19,0.0020384399999989
blake2s256,21,28,17,15,19,0.0020417500000030485
sha512-256WithRSAEncryption,19,22,18,20,21,0.002077580000011494
sha512-224WithRSAEncryption,17,23,19,18,23,0.0020849499999872024
md5-sha1,24,19,18,17,22,0.002091440000019702
sha256,24,12,18,31,15,0.0020949800000039432
sha512-256,19,16,26,17,22,0.0020981499999970766
sha224WithRSAEncryption,26,27,12,16,19,0.002138569999997344
rmd160,27,12,15,23,23,0.0021453799999972033
RSA-RIPEMD160,21,23,13,26,17,0.0021746499999926528
RSA-SHA512/224,12,21,26,20,21,0.0021853500000111126
RSA-SM3,27,15,21,18,19,0.002236379999994824
sha384WithRSAEncryption,15,27,20,21,17,0.002238150000021051
sha384,20,12,24,20,24,0.0022700800000143317
shake128,13,28,14,20,25,0.002278579999995145
RSA-SHA224,14,20,21,21,24,0.0022815300000092976
RSA-SHA384,18,19,14,26,23,0.0023046600000066063
id-rsassa-pkcs1-v1_5-with-sha3-256,18,23,20,26,13,0.0023182600000086497
sha3-224,28,22,21,13,16,0.0023235100000101737
sha512,16,19,27,15,23,0.0023296600000026046
sha3-256,19,23,17,21,20,0.002335539999987759
sha512WithRSAEncryption,20,19,20,21,20,0.002348460000000614
RSA-SHA256,26,22,19,16,17,0.0023635100000160493
RSA-MD5,24,18,17,18,23,0.002377169999990656
ripemd160WithRSA,21,23,11,24,21,0.0023997000000099433
sha3-384,15,20,18,24,23,0.002417150000012498
blake2b512,22,19,27,15,17,0.0024281299999961447
RSA-SHA3-256,25,21,21,16,17,0.0024395699999877254
sha3-512,26,18,18,16,22,0.0026038099999868792
id-rsassa-pkcs1-v1_5-with-sha3-512,22,19,20,21,18,0.0026910799999859594
sha512-224,20,23,23,19,15,0.0026967999999965284
RSA-SHA512/256,19,24,26,14,17,0.002891870000007657
RSA-SHA1-2,19,22,18,20,21,0.0032077100000037716
shake256,11,21,29,19,20,0.0034084900000084417
id-rsassa-pkcs1-v1_5-with-sha3-384,23,16,20,23,18,0.003528639999990446
RSA-SHA512,20,19,26,15,20,0.003539799999996376
RSA-SHA3-512,20,22,16,24,18,0.0040556499999956945
RSA-SHA3-384,19,16,27,18,20,0.004570780000001377
RSA-SHA3-224,22,18,14,27,19,0.0051720700000032595
id-rsassa-pkcs1-v1_5-with-sha3-224,13,19,20,23,25,0.00636208000000579
ripemd,18,25,24,19,14,0.00648202000000083
sha224,15,15,22,25,23,0.05631365000000187
