
algorithm,twenty,fourty,sixty,eighty,hundred,time
sha256WithRSAEncryption,2,4,2,1,1,0.052720069885253906
ripemd160WithRSA,3,2,0,4,1,0.05283498764038086
sha1,3,2,1,2,2,0.05417895317077637
rmd160,0,2,3,2,3,0.055027008056640625
md5,3,2,2,1,2,0.05530405044555664
ssl3-md5,3,0,1,0,6,0.05604696273803711
sm3WithRSAEncryption,2,2,3,1,2,0.056883811950683594
sha512-224,0,2,4,2,2,0.05696606636047363
sha512-224WithRSAEncryption,3,5,1,0,1,0.057221174240112305
sha512-256WithRSAEncryption,1,3,2,1,3,0.05726504325866699
sha1WithRSAEncryption,2,1,3,0,4,0.05800986289978027
ripemd,1,2,3,2,2,0.05803179740905762
sm3,3,3,0,2,2,0.05810403823852539
sha224,0,1,1,3,5,0.058274030685424805
sha512-256,3,3,0,3,1,0.05846595764160156
md5WithRSAEncryption,3,3,3,1,0,0.05881309509277344
sha3-256,4,3,1,1,1,0.059092044830322266
sha384WithRSAEncryption,1,1,2,1,5,0.06016993522644043
sha3-224,2,1,2,2,3,0.060404062271118164
blake2s256,2,5,1,2,0,0.060487985610961914
shake128,4,2,2,1,1,0.06055903434753418
sha3-384,0,1,5,3,1,0.060977935791015625
md5-sha1,1,3,1,2,3,0.0612940788269043
shake256,3,1,1,1,4,0.06139993667602539
sha512,2,2,1,4,1,0.06318998336791992
sha3-512,2,2,1,4,1,0.06339788436889648
sha512WithRSAEncryption,3,2,2,0,3,0.06343388557434082
sha224WithRSAEncryption,4,2,0,4,0,0.06357288360595703
sha256,0,4,2,1,3,0.06503105163574219
blake2b512,2,4,0,2,2,0.06566405296325684
id-rsassa-pkcs1-v1_5-with-sha3-512,2,1,3,2,2,0.06626200675964355
id-rsassa-pkcs1-v1_5-with-sha3-224,0,2,3,2,3,0.07207417488098145
ssl3-sha1,1,2,2,1,4,0.07271003723144531
sha384,2,3,2,2,1,0.08138012886047363
ripemd160,2,2,0,4,2,0.0825340747833252
graham,3,1,3,3,0,0.09743118286132812
RSA-SHA3-384,0,5,2,1,2,0.10402798652648926
RSA-SHA3-512,2,1,2,3,2,0.11850500106811523
RSA-SHA256,1,0,4,3,2,0.11926507949829102
RSA-SHA512,6,0,0,1,3,0.12027597427368164
id-rsassa-pkcs1-v1_5-with-sha3-384,4,3,1,2,0,0.12713909149169922
RSA-SHA512/256,3,4,1,0,2,0.13570189476013184
RSA-SHA384,2,1,2,4,1,0.1384868621826172
RSA-SHA1-2,1,3,1,2,3,0.14043211936950684
RSA-SHA3-256,2,2,2,1,3,0.1413121223449707
custom,0,0,3,6,1,0.16688108444213867
id-rsassa-pkcs1-v1_5-with-sha3-256,1,1,4,3,1,0.1694178581237793
RSA-SHA224,3,3,0,1,3,0.17239618301391602
RSA-SM3,0,4,1,3,2,0.2053840160369873
RSA-SHA512/224,2,2,1,2,3,0.23235583305358887
RSA-SHA3-224,2,1,2,1,4,0.23996520042419434
RSA-RIPEMD160,3,0,2,2,3,0.38997602462768555
RSA-SHA1,2,3,2,3,0,0.9572350978851318
RSA-MD5,1,3,1,2,3,2.0553760528564453
