algorithm,twenty,fourty,sixty,eighty,hundred,time
sha1WithRSAEncryption,24,22,23,13,18,0.32677221298217773
md5WithRSAEncryption,15,24,22,22,17,0.3315010070800781
ripemd160,25,14,19,20,22,0.3394310474395752
ripemd,22,19,20,20,19,0.34526896476745605
rmd160,15,25,21,14,25,0.35303401947021484
RSA-SM3,22,13,23,21,21,0.3543519973754883
sha224,20,25,20,22,13,0.35512685775756836
sha224WithRSAEncryption,20,21,19,13,27,0.3633849620819092
sha1,19,15,17,22,27,0.3677990436553955
md5-sha1,14,16,28,18,24,0.3751990795135498
sha256,16,24,18,30,12,0.37520909309387207
RSA-SHA512/256,23,15,18,23,21,0.39079713821411133
blake2s256,22,16,19,22,21,0.3926520347595215
sha3-256,19,16,24,19,22,0.4042191505432129
sha384,17,18,25,21,19,0.40683913230895996
sha256WithRSAEncryption,18,20,22,21,19,0.4130289554595947
sha3-384,31,21,14,14,20,0.42249417304992676
sha512-224WithRSAEncryption,19,21,18,18,24,0.42252397537231445
sha384WithRSAEncryption,18,22,11,22,27,0.42958593368530273
sha3-512,21,21,23,19,16,0.4393351078033447
id-rsassa-pkcs1-v1_5-with-sha3-256,18,21,25,21,15,0.4423668384552002
sha512,8,25,26,26,15,0.44269585609436035
id-rsassa-pkcs1-v1_5-with-sha3-384,17,23,21,20,19,0.4477529525756836
ripemd160WithRSA,21,21,23,15,20,0.45608091354370117
id-rsassa-pkcs1-v1_5-with-sha3-224,17,20,21,23,19,0.4776761531829834
graham,18,19,17,25,21,0.4901001453399658
RSA-SHA512/224,17,21,29,15,18,0.5184738636016846
md5,24,13,29,15,19,0.5287520885467529
RSA-SHA3-256,14,24,18,27,17,0.5291578769683838
RSA-SHA3-224,20,22,21,18,19,0.5406088829040527
RSA-SHA1,29,13,22,16,20,0.5454540252685547
blake2b512,19,24,16,22,19,0.5464138984680176
RSA-SHA3-384,17,20,17,24,22,0.5479719638824463
RSA-RIPEMD160,16,23,23,22,16,0.5536911487579346
RSA-SHA384,22,19,28,13,18,0.5553538799285889
sha3-224,22,22,16,21,19,0.5603718757629395
RSA-SHA1-2,16,20,21,22,21,0.5606060028076172
sha512-224,17,27,16,18,22,0.5644128322601318
RSA-SHA512,17,24,26,13,20,0.5824060440063477
sha512-256,13,23,21,24,19,0.5963490009307861
sha512-256WithRSAEncryption,18,20,23,21,18,0.6450760364532471
RSA-SHA256,18,21,20,21,20,0.6678290367126465
sha512WithRSAEncryption,17,24,21,18,20,0.6948390007019043
id-rsassa-pkcs1-v1_5-with-sha3-512,18,25,18,13,26,0.6994829177856445
RSA-SHA3-512,12,22,22,23,21,0.7185201644897461
RSA-MD5,25,17,14,19,25,0.7467918395996094
ssl3-md5,25,22,10,22,21,0.7973690032958984
ssl3-sha1,15,25,25,14,21,0.8096301555633545
RSA-SHA224,20,19,22,14,25,1.0596871376037598
sm3,24,18,21,15,22,1.0735111236572266
sm3WithRSAEncryption,18,19,23,16,24,1.9313039779663086
shake128,14,18,21,24,23,2.9063751697540283
custom,25,22,17,18,18,2.9471402168273926
shake256,25,17,16,20,22,4.37936806678772
