
algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,176,181,199,215,229,0.7375030517578125
custom,192,215,183,206,204,1.2995388507843018
md5,193,216,204,217,170,2.584855079650879
RSA-MD5,208,204,213,172,203,2.896296977996826
sha1,203,203,218,185,191,2.9913370609283447
RSA-SHA1,213,194,204,205,184,3.0068271160125732
RSA-RIPEMD160,228,166,206,191,209,3.102665901184082
RSA-SHA256,201,197,201,199,202,3.112718105316162
ripemd160WithRSA,213,192,199,196,200,3.1216840744018555
sha256,215,210,185,186,204,3.1785600185394287
blake2s256,209,189,206,195,201,3.184767007827759
md5-sha1,170,227,198,207,198,3.2128331661224365
RSA-SHA512/224,194,203,208,190,205,3.2452340126037598
RSA-SHA384,188,214,195,218,185,3.2729179859161377
RSA-SHA3-224,190,204,204,192,210,3.2968637943267822
sha1WithRSAEncryption,190,209,212,195,194,3.3891360759735107
RSA-SHA512/256,177,196,207,206,214,3.392868995666504
sm3,189,193,232,193,193,3.4070889949798584
RSA-SHA3-256,186,194,213,209,198,3.4430980682373047
RSA-SHA3-384,189,198,197,224,192,3.4754300117492676
RSA-SHA512,196,191,210,189,214,3.4999430179595947
sha3-224,222,197,183,190,208,3.5557541847229004
id-rsassa-pkcs1-v1_5-with-sha3-256,222,195,204,187,192,3.5631752014160156
sha512-256WithRSAEncryption,204,203,191,205,197,3.6375410556793213
blake2b512,179,199,198,185,239,3.7445178031921387
sha224WithRSAEncryption,194,220,209,204,173,3.8005869388580322
RSA-SHA3-512,188,205,197,209,201,3.8313329219818115
id-rsassa-pkcs1-v1_5-with-sha3-384,207,192,200,202,199,3.9573709964752197
RSA-SHA224,195,187,203,218,197,4.049577951431274
sha384WithRSAEncryption,207,196,214,179,204,4.2447099685668945
sha512-256,206,191,197,208,198,4.293414115905762
id-rsassa-pkcs1-v1_5-with-sha3-224,184,192,203,225,196,4.500898122787476
sha224,190,210,191,231,178,4.94362998008728
id-rsassa-pkcs1-v1_5-with-sha3-512,203,209,185,193,210,5.115376949310303
ripemd,208,186,190,195,221,5.254523038864136
md5WithRSAEncryption,195,177,210,227,191,5.4810919761657715
sha3-256,187,182,191,226,214,5.675913095474243
sha512,226,223,186,192,173,6.585539102554321
sha512WithRSAEncryption,204,222,199,191,184,6.889704942703247
sha256WithRSAEncryption,181,203,191,203,222,7.129057168960571
ssl3-sha1,199,171,202,215,213,7.337846040725708
ssl3-md5,192,191,211,218,188,7.466968059539795
sha512-224WithRSAEncryption,207,183,179,202,229,8.302747011184692
rmd160,186,205,222,203,184,8.352867126464844
sm3WithRSAEncryption,194,182,196,216,212,9.076452016830444
sha384,199,182,215,205,199,10.294336080551147
sha3-384,207,222,181,195,195,11.834504842758179
RSA-SM3,177,199,210,209,205,15.333954095840454
shake128,192,197,195,203,213,16.735599040985107
ripemd160,197,194,211,195,203,17.532283067703247
RSA-SHA1-2,183,185,220,216,196,18.700592041015625
sha512-224,204,208,186,180,222,19.12564206123352
shake256,208,196,206,183,207,25.258141040802002
sha3-512,210,205,190,195,200,68.38551187515259
