
algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,28,10,15,28,19,0.20086097717285156
sha1,14,14,23,25,24,0.32463598251342773
sm3,21,17,25,22,15,0.33945393562316895
rmd160,27,24,12,21,16,0.34127211570739746
ssl3-sha1,28,14,15,26,17,0.3650949001312256
sm3WithRSAEncryption,19,21,15,19,26,0.3733198642730713
sha512-224WithRSAEncryption,23,25,18,22,12,0.38314199447631836
sha1WithRSAEncryption,18,20,13,28,21,0.3837900161743164
shake256,20,19,24,15,22,0.39402008056640625
sha512-256WithRSAEncryption,24,17,15,17,27,0.39691591262817383
RSA-SM3,20,14,16,18,32,0.39926791191101074
sha384,27,19,18,15,21,0.40137720108032227
blake2b512,14,27,19,23,17,0.4086289405822754
sha512WithRSAEncryption,22,20,22,17,19,0.43043088912963867
sha512-224,25,20,24,17,14,0.4479200839996338
sha3-224,23,19,15,20,23,0.45206594467163086
id-rsassa-pkcs1-v1_5-with-sha3-224,32,16,14,19,19,0.4528160095214844
ripemd160,13,19,18,31,19,0.4543929100036621
id-rsassa-pkcs1-v1_5-with-sha3-384,24,18,14,23,21,0.45633888244628906
id-rsassa-pkcs1-v1_5-with-sha3-512,25,21,15,23,16,0.46425509452819824
sha384WithRSAEncryption,14,12,24,25,25,0.4820401668548584
RSA-SHA512,18,16,18,24,24,0.4870939254760742
RSA-SHA384,20,22,18,22,18,0.4947960376739502
sha512,21,24,20,19,16,0.499614953994751
RSA-SHA3-224,14,28,22,21,15,0.5112819671630859
sha3-384,17,16,20,27,20,0.5128819942474365
sha224,21,23,17,18,21,0.524101972579956
RSA-SHA256,12,19,21,24,24,0.530677080154419
md5WithRSAEncryption,9,18,18,28,27,0.5361909866333008
blake2s256,18,22,21,20,19,0.5366318225860596
sha3-512,22,22,17,19,20,0.5382800102233887
sha256WithRSAEncryption,15,17,23,27,18,0.5835399627685547
custom,15,21,21,23,20,0.5886189937591553
md5-sha1,23,17,20,18,22,0.5901269912719727
RSA-MD5,27,18,18,16,21,0.5960531234741211
md5,21,22,18,16,23,0.5972030162811279
RSA-SHA1-2,21,22,18,25,14,0.6279330253601074
ripemd,28,12,24,16,20,0.6795411109924316
RSA-SHA512/256,16,21,20,19,24,0.6908621788024902
id-rsassa-pkcs1-v1_5-with-sha3-256,20,28,17,21,14,0.6925208568572998
ssl3-md5,19,16,21,31,13,0.7154099941253662
shake128,14,19,24,17,26,0.7388699054718018
sha224WithRSAEncryption,22,17,20,21,20,0.81260085105896
sha512-256,22,18,17,23,20,1.0268192291259766
ripemd160WithRSA,25,18,17,23,17,1.1374249458312988
RSA-SHA1,18,26,23,21,12,1.2152831554412842
RSA-SHA224,16,17,20,21,26,1.2309839725494385
sha256,19,16,22,20,23,1.6795141696929932
RSA-SHA3-512,26,17,14,22,21,1.8104348182678223
RSA-RIPEMD160,17,21,19,24,19,1.9946541786193848
RSA-SHA3-256,26,17,18,24,15,2.907750129699707
RSA-SHA3-384,15,22,21,23,19,4.759501934051514
sha3-256,22,20,18,22,18,7.147881031036377
RSA-SHA512/224,18,21,18,22,21,33.82790780067444
