algorithm,twenty,fourty,sixty,eighty,hundred,time
custom,106,99,94,109,92,0.44486403465270996
graham,112,98,85,98,107,0.6362459659576416
md5WithRSAEncryption,91,110,84,119,96,1.3732078075408936
sha256,90,101,110,91,108,1.3957898616790771
ssl3-md5,94,114,94,106,92,1.4271070957183838
rmd160,101,87,96,111,105,1.4556739330291748
ssl3-sha1,108,96,93,100,103,1.465871810913086
sha1WithRSAEncryption,103,101,82,101,113,1.4745509624481201
sha224,95,119,98,92,96,1.47969388961792
RSA-SHA1,109,72,95,119,105,1.5063180923461914
RSA-MD5,93,97,100,106,104,1.5227370262145996
RSA-SHA1-2,109,97,100,98,96,1.530951976776123
ripemd160,99,93,108,105,95,1.578568935394287
sha3-224,99,114,101,103,83,1.589505910873413
sha256WithRSAEncryption,114,91,98,103,94,1.5949320793151855
ripemd,93,106,96,110,95,1.6039159297943115
RSA-SHA224,98,95,104,92,111,1.6132631301879883
RSA-SHA3-256,97,99,99,90,115,1.6490600109100342
RSA-SHA256,88,109,96,99,108,1.6693899631500244
sm3,95,94,121,86,104,1.7017581462860107
RSA-RIPEMD160,107,98,92,101,102,1.7214579582214355
sha3-384,100,87,97,115,101,1.7319889068603516
ripemd160WithRSA,105,107,108,94,86,1.7391128540039062
sha384,99,94,110,95,102,1.7471389770507812
sha224WithRSAEncryption,98,87,109,106,100,1.7639238834381104
sha384WithRSAEncryption,121,94,81,106,98,1.817012071609497
RSA-SHA384,95,103,104,101,97,1.8230290412902832
sha3-512,101,101,102,91,105,1.8756530284881592
shake128,107,94,101,96,102,1.980569839477539
shake256,99,110,95,98,98,2.017280101776123
RSA-SHA512,87,114,106,99,94,2.0438079833984375
RSA-SHA3-384,104,112,96,104,84,2.136681079864502
sha512-256WithRSAEncryption,103,101,105,98,93,2.153770923614502
sha512WithRSAEncryption,92,96,100,119,93,2.2078328132629395
RSA-SHA3-512,103,100,100,99,98,2.2648658752441406
id-rsassa-pkcs1-v1_5-with-sha3-224,96,98,103,95,108,2.273838996887207
RSA-SHA512/224,105,81,98,102,114,2.4902939796447754
sha3-256,115,95,96,93,101,2.56193208694458
md5-sha1,110,100,111,93,86,2.5626180171966553
md5,97,83,95,103,122,2.64913010597229
id-rsassa-pkcs1-v1_5-with-sha3-256,110,92,105,115,78,2.6611618995666504
id-rsassa-pkcs1-v1_5-with-sha3-512,98,106,111,82,103,2.769573211669922
sha512-224,105,100,94,92,109,2.783184051513672
blake2s256,98,99,109,107,87,3.064802885055542
sha512-256,107,101,112,105,75,3.1649839878082275
sha512,97,107,100,96,100,3.1679561138153076
sha512-224WithRSAEncryption,101,113,99,105,82,3.6446990966796875
id-rsassa-pkcs1-v1_5-with-sha3-384,87,106,104,105,98,5.2865049839019775
RSA-SHA512/256,112,99,95,99,95,6.513509035110474
blake2b512,105,118,97,98,82,8.321232080459595
RSA-SM3,100,113,86,110,91,9.639530897140503
sm3WithRSAEncryption,105,109,89,109,88,13.400490045547485
sha1,87,103,121,102,87,13.502837896347046
RSA-SHA3-224,97,97,110,93,103,18.66306185722351
