
algorithm,twenty,fourty,sixty,eighty,hundred,time
graham,101,99,104,104,92,0.5016951560974121
sm3WithRSAEncryption,90,100,117,103,90,1.7929878234863281
ripemd160WithRSA,102,92,90,96,120,1.899109125137329
ripemd,102,112,97,94,95,1.9384479522705078
sha512,104,105,105,93,93,1.9384799003601074
ssl3-sha1,99,72,111,106,112,1.9536309242248535
sha512-256,97,112,94,114,83,1.9712331295013428
ssl3-md5,79,107,105,98,111,1.971479892730713
sha1WithRSAEncryption,95,102,112,95,96,1.9732601642608643
sha3-256,110,111,87,92,100,2.0479719638824463
id-rsassa-pkcs1-v1_5-with-sha3-256,102,115,90,94,99,2.210693120956421
RSA-SHA3-224,105,102,90,110,93,2.2177541255950928
sha3-384,91,101,125,95,88,2.241666078567505
sha384,103,91,101,118,87,2.2455921173095703
RSA-SHA384,107,98,96,94,105,2.2747538089752197
sha3-224,104,107,95,95,99,2.350767135620117
sha512WithRSAEncryption,99,106,95,102,98,2.400538921356201
RSA-SHA3-384,95,98,104,121,82,2.4125380516052246
sm3,92,100,106,105,97,2.469688892364502
RSA-SHA3-512,105,101,99,88,107,2.5224220752716064
sha512-224WithRSAEncryption,87,89,93,111,120,2.556579113006592
RSA-SHA512,94,108,100,93,105,2.579638957977295
md5WithRSAEncryption,93,108,96,109,94,2.6994941234588623
sha512-256WithRSAEncryption,99,109,93,101,98,2.7316548824310303
sha384WithRSAEncryption,101,97,94,103,105,2.8525230884552
md5,109,109,98,84,100,3.099620819091797
RSA-SM3,88,89,101,112,110,3.216632127761841
RSA-SHA1-2,97,114,101,96,92,3.36071515083313
shake128,111,105,104,98,82,3.4157512187957764
id-rsassa-pkcs1-v1_5-with-sha3-512,118,98,88,86,110,3.533357858657837
RSA-SHA1,98,90,96,103,113,3.7375471591949463
sha256,96,117,108,89,90,3.8455700874328613
sha224,124,102,105,87,82,3.9028801918029785
RSA-SHA3-256,86,112,97,111,94,4.000393867492676
id-rsassa-pkcs1-v1_5-with-sha3-224,102,95,96,92,115,4.211987018585205
blake2s256,99,99,114,96,92,4.3971779346466064
ripemd160,93,103,110,96,98,4.440729141235352
shake256,102,98,108,91,101,4.727274179458618
sha256WithRSAEncryption,91,88,103,105,113,5.642117977142334
RSA-SHA224,88,104,114,101,93,5.708376884460449
sha3-512,97,109,98,98,98,6.67636513710022
sha224WithRSAEncryption,100,111,108,85,96,7.3005640506744385
RSA-SHA512/224,100,98,98,98,106,7.651964902877808
sha1,108,95,92,101,104,13.648224830627441
blake2b512,96,109,101,101,93,14.038975954055786
rmd160,104,91,107,98,100,15.896645069122314
custom,109,85,95,113,98,23.090605974197388
RSA-RIPEMD160,103,115,96,88,98,23.150657892227173
id-rsassa-pkcs1-v1_5-with-sha3-384,102,109,86,107,96,29.715426921844482
sha512-224,105,92,90,109,104,49.712610960006714
RSA-SHA256,100,112,99,94,95,59.0815589427948
RSA-SHA512/256,103,101,114,93,89,68.65969204902649
md5-sha1,90,110,113,93,94,170.58939003944397
RSA-MD5,90,89,103,119,99,308.9111568927765
